TableNum,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,key column
0,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,1
1,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,,0
2,UNKNOWN,UNKNOWN,UNKNOWN,PERSON,,,0
3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,0
4,UNKNOWN,UNKNOWN,UNKNOWN,,,,0
5,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
6,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,1
7,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,0
8,TYPOGRAPHICAL ELEMENT,PERSON,PERSON,UNKNOWN,UNKNOWN,,1
9,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
10,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
11,UNKNOWN,PERSON,PERSON,UNKNOWN,UNKNOWN,,0
12,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
13,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0
14,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
15,UNKNOWN,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,0
16,UNKNOWN,PERSON,UNKNOWN,UNKNOWN,UNKNOWN,,0
